Start Time,End Time,Original,Translation,English Translation,Score,Comment
1900-01-01 00:06:08,1900-01-01 00:06:10,You don't treat me like one third of this restaurant.,je [UNK] me niet als een derde van dit restaurant .,you don't [UNK] me like a third of this restaurant .,,
1900-01-01 00:06:10,1900-01-01 00:06:13,"Well, I have the burden of the money,","ik heb de last van het geld ,","i got the [UNK] of the money ,",,
1900-01-01 00:06:13,1900-01-01 00:06:15,and I'm making $2 an hour.,en ik maak twee uur een uur per uur .,and i'll have two hours per hour .,,
1900-01-01 00:06:15,1900-01-01 00:06:17,"She gets paid that much, but she also gets a car.",ze heeft ook een auto betaald .,she paid a car too .,,
1900-01-01 00:06:17,1900-01-01 00:06:20,"She gets her cell phone paid for, her gas.",ze krijgt haar mobiel .,she'll have her phone .,,
1900-01-01 00:06:20,1900-01-01 00:06:23,Wow.,wauw .,wow .,,
1900-01-01 00:06:23,1900-01-01 00:06:24,OK.,oké .,okay .,,
1900-01-01 00:06:24,1900-01-01 00:06:27,"So if you could get out of this, would you do it?","dus als je dit zou kunnen halen , zou je het dan doen ?","so if you could bring this , would you do it ?",,
1900-01-01 00:06:27,1900-01-01 00:06:30,"Looking back, we did make a very, you know,","kijk terug , we hebben een zeer [UNK] .","look back , we have a very [UNK] [UNK] .",,
1900-01-01 00:06:30,1900-01-01 00:06:32,risky and stupid decision.,te bang en dom .,too scared and dom .,,
1900-01-01 00:06:35,1900-01-01 00:06:39,"My sister doesn't have that burden of losing her house,",mijn zus heeft die last van haar huis niet kwijt .,my sister who didn't lose her home .,,
1900-01-01 00:06:39,1900-01-01 00:06:42,so she's never been really responsible.,dus ze is nooit echt verantwoordelijk geweest .,so she has never been responsible for this .,,
1900-01-01 00:06:42,1900-01-01 00:06:43,"Listen, I'm back to eat.","luister , ik moet eten .","listen , i have to eat .",,
1900-01-01 00:06:43,1900-01-01 00:06:44,"Nice to meet you, all three of you.","aangenaam , alle drie van je .",nice to meet you all three .,,
1900-01-01 00:06:44,1900-01-01 00:06:46,And I'm going to see what I'm going to work with.,en ik ga zien wat ik ga doen met mijn werk .,and i'm gonna see what i'm gonna do with my work .,,
1900-01-01 00:06:46,1900-01-01 00:06:47,Thank you.,bedankt .,thanks .,,
1900-01-01 00:06:47,1900-01-01 00:06:48,Thank you.,bedankt .,thanks .,,
1900-01-01 00:06:48,1900-01-01 00:06:52,"It's emotionally draining, and it's a scary situation.","het is [UNK] , en het is een eng situatie .","it's [UNK] , and it's a scary situation .",,
1900-01-01 00:06:57,1900-01-01 00:06:58,Rice.,[UNK] .,[UNK] .,,
1900-01-01 00:06:58,1900-01-01 00:06:59,Here we go.,daar gaan we .,here we go .,,
1900-01-01 00:07:00,1900-01-01 00:07:02,"Oh, my word.",mijn woord .,my word .,,
1900-01-01 00:07:02,1900-01-01 00:07:04,Here's some water for you.,hier is het water voor je .,here's the water for you .,,
1900-01-01 00:07:04,1900-01-01 00:07:05,Thank you very much.,bedankt .,thanks .,,
1900-01-01 00:07:05,1900-01-01 00:07:07,"My name is Genevieve, and I'm going to be your server.","ik heet [UNK] , en ik ga je server [UNK] .","my name is [UNK] , and i'm gonna [UNK] you .",,
1900-01-01 00:07:07,1900-01-01 00:07:08,OK.,oké .,okay .,,
1900-01-01 00:07:08,1900-01-01 00:07:09,Can I get you started with anything?,mag ik je met iets beginnen ?,may i start with you something ?,,
1900-01-01 00:07:09,1900-01-01 00:07:10,Let's go.,laten we gaan .,let's go .,,
1900-01-01 00:07:10,1900-01-01 00:07:12,"Right, let's start off with the toasted ravioli.",we beginnen met de [UNK] .,let's start with the [UNK] .,,
1900-01-01 00:07:12,1900-01-01 00:07:13,OK.,oké .,okay .,,
1900-01-01 00:07:13,1900-01-01 00:07:14,The frutta di mame.,de [UNK] [UNK] [UNK] .,the [UNK] [UNK] [UNK] .,,
1900-01-01 00:07:14,1900-01-01 00:07:15,OK.,oké .,okay .,,
1900-01-01 00:07:15,1900-01-01 00:07:16,The lasagna.,de [UNK] .,the [UNK] .,,
1900-01-01 00:07:16,1900-01-01 00:07:18,"It's not your typical lasagna, so be",het is niet typisch [UNK] .,it's not like [UNK] .,,
1900-01-01 00:07:18,1900-01-01 00:07:22,prepared for something different.,voorbereid voor iets anders .,- something else .,,
1900-01-01 00:07:22,1900-01-01 00:07:24,"What do you mean, something different?","wat bedoel je , iets anders ?","what do you mean , anything else ?",,
1900-01-01 00:07:24,1900-01-01 00:07:25,It's kind of like?,het is net zo ?,it's just like ?,,
1900-01-01 00:07:25,1900-01-01 00:07:26,"Save it, save it, save it.","red het , red het .","save it , save it .",,
1900-01-01 00:07:26,1900-01-01 00:07:27,Are you sure?,weet je het zeker ?,are you sure ?,,
1900-01-01 00:07:27,1900-01-01 00:07:28,Absolutely.,absoluut .,absolutely .,,
1900-01-01 00:07:28,1900-01-01 00:07:31,"We're in California, so why not chicken pizza?","we zijn in california , waarom pizza niet ?","we're in california , why aren't we ?",,
1900-01-01 00:07:31,1900-01-01 00:07:32,OK.,oké .,okay .,,
1900-01-01 00:07:32,1900-01-01 00:07:34,Excellent.,uitstekend .,excellent .,,
1900-01-01 00:07:34,1900-01-01 00:07:35,And who makes the bread?,en wie maakt het brood ?,and who [UNK] the bread ?,,
1900-01-01 00:07:35,1900-01-01 00:07:37,"Casimiro, our head chef.","[UNK] , onze [UNK] .","[UNK] , our [UNK] .",,
1900-01-01 00:07:37,1900-01-01 00:07:38,Yes.,ja .,yeah .,,
1900-01-01 00:07:38,1900-01-01 00:07:39,Ready?,klaar ?,ready ?,,
1900-01-01 00:07:39,1900-01-01 00:07:41,Thank you.,bedankt .,thanks .,,
1900-01-01 00:07:41,1900-01-01 00:07:44,Bread's dreadful.,[UNK] [UNK] .,[UNK] [UNK] .,,
1900-01-01 00:07:44,1900-01-01 00:07:46,The dough ball.,het geld van het [UNK] .,the money from the [UNK] .,,
1900-01-01 00:07:46,1900-01-01 00:07:49,"Wet, soggy, horrible dough.","nat , [UNK] , verschrikkelijk geld .","nat , [UNK] , [UNK] , [UNK] money .",,
1900-01-01 00:07:49,1900-01-01 00:07:50,Damn.,verdomme .,damn it .,,
1900-01-01 00:07:50,1900-01-01 00:07:52,"Do it, Casimiro.","doe het , [UNK] .","do it , [UNK] .",,
1900-01-01 00:07:52,1900-01-01 00:07:54,Toasted ravioli for Chef Ramsay.,[UNK] [UNK] voor [UNK] .,[UNK] [UNK] for [UNK] .,,
1900-01-01 00:07:54,1900-01-01 00:07:57,"I don't like any of the food, so I really",ik hou niet van het eten .,i don't like dinner .,,
1900-01-01 00:07:57,1900-01-01 00:07:59,don't think that he will either.,denk dat hij ook niet zal zijn .,he won't be .,,
1900-01-01 00:08:03,1900-01-01 00:08:05,Here's the toasted ravioli.,hier is de [UNK] [UNK] .,here's the [UNK] [UNK] .,,
1900-01-01 00:08:05,1900-01-01 00:08:07,Thank you very much.,bedankt .,thanks .,,
1900-01-01 00:08:07,1900-01-01 00:08:09,"Wow, wow, wow, wow, wow.","wow , wow . wow .","wow , wow .",,
1900-01-01 00:08:09,1900-01-01 00:08:10,Which bit's the toasted bit?,welk [UNK] is het [UNK] ?,which [UNK] is the [UNK] ?,,
1900-01-01 00:08:10,1900-01-01 00:08:14,"Yeah, I never have recommended the ravioli.","ja , ik heb de [UNK] nooit [UNK] .","yeah , i never [UNK] the [UNK] .",,
1900-01-01 00:08:14,1900-01-01 00:08:16,"I mean, they're raw.",ze zijn [UNK] .,they're [UNK] .,,
1900-01-01 00:08:16,1900-01-01 00:08:19,"Yeah, a lot of people don't like them.","ja , veel mensen zoals hen niet .","yeah , a lot of people like them aren't .",,
1900-01-01 00:08:18.123991,1900-01-01 00:08:21.363991,"They're either really raw, or they're just, like, cardboard.",ze zijn echt [UNK] of ze zijn gewoon [UNK] .,they're really [UNK] or they're just [UNK] .,,
1900-01-01 00:08:21.363991,1900-01-01 00:08:23.563991,She doesn't know what stuff she's talking about.,ze weet niet waar ze het over heeft .,she doesn't know what she's talking about .,,
1900-01-01 00:08:23.563991,1900-01-01 00:08:25.563991,"I mean, they're dangerous.",ze zijn gevaarlijk .,they're dangerous .,,
1900-01-01 00:08:25.563991,1900-01-01 00:08:26.603991,Does she eat them?,maakt ze ze ze eten ?,does she make them dinner ?,,
1900-01-01 00:08:26.603991,1900-01-01 00:08:28.303991,"Tatiana, does she eat that dish?","[UNK] , eet ze die [UNK] ?","[UNK] , are they eating that [UNK] ?",,
1900-01-01 00:08:28.303991,1900-01-01 00:08:29.603991,No.,nee .,no .,,
1900-01-01 00:08:29.603991,1900-01-01 00:08:30.803991,"No, will you ask her to taste one for me?","nee , wil je haar smaak vragen voor me ?","no , you wanna ask her taste her ?",,
1900-01-01 00:08:30.803991,1900-01-01 00:08:31.903991,OK.,oké .,okay .,,
1900-01-01 00:08:31.903991,1900-01-01 00:08:32.803991,And then I think she'll 86 them.,ik denk dat ze hen [UNK] .,i think they [UNK] them .,,
1900-01-01 00:08:32.803991,1900-01-01 00:08:33.703991,All right.,oké .,okay .,,
1900-01-01 00:08:33.703991,1900-01-01 00:08:34.803991,Toasted ravioli?,[UNK] [UNK] ?,[UNK] [UNK] ?,,
1900-01-01 00:08:34.803991,1900-01-01 00:08:35.703991,Really?,echt ?,really ?,,
1900-01-01 00:08:35.703991,1900-01-01 00:08:36.603991,Yeah.,ja .,yeah .,,
1900-01-01 00:08:36.603991,1900-01-01 00:08:37.943991,It sounds like the owners are toast.,het klinkt als de [UNK] .,it sounds like the [UNK] .,,
1900-01-01 00:08:37.943991,1900-01-01 00:08:40.243991,He said taste it and agree with him and 86 it.,hij zei [UNK] het en het begint met hem en [UNK] .,"he said , [UNK] and it starts with him and [UNK] .",,
1900-01-01 00:08:44.123991,1900-01-01 00:08:45.623991,Don't say anything to the chefs.,zeg niets tegen de [UNK] .,don't tell the [UNK] .,,
1900-01-01 00:08:45.623991,1900-01-01 00:08:47.123991,Just let them be calm.,laat ze gewoon rustig zijn .,just let them be calm .,,
1900-01-01 00:08:47.623991,1900-01-01 00:08:48.523991,Calm a bit.,rustig .,calm down .,,
1900-01-01 00:08:48.523991,1900-01-01 00:08:50.422991,"No, it's OK.","nee , het is goed .","no , it's fine .",,
1900-01-01 00:08:50.422991,1900-01-01 00:08:52.422991,It's ridiculous.,het is belachelijk .,it's ridiculous .,,
1900-01-01 00:08:52.422991,1900-01-01 00:08:53.623991,I can't take food back there.,ik kan niet eten .,i can't eat .,,
1900-01-01 00:08:53.623991,1900-01-01 00:08:55.163991,None of us can take food back there.,geen van ons kan daar eten .,we can't eat there .,,
1900-01-01 00:08:55.163991,1900-01-01 00:08:56.463991,That's not how it's supposed to go.,zo moet het niet gebeuren .,it won't happen .,,
1900-01-01 00:08:56.463991,1900-01-01 00:08:57.603991,"You're supposed to go straight to the chef and say,",je moet [UNK] naar de chef .,you need to [UNK] to the chief .,,
1900-01-01 00:08:57.603991,1900-01-01 00:08:58.703991,this is wrong.,dit is verkeerd .,this is wrong .,,
1900-01-01 00:08:58.703991,1900-01-01 00:08:59.603991,Wow.,wauw .,wow .,,
1900-01-01 00:08:59.603991,1900-01-01 00:09:00.703991,This is the frutti di mare.,dit is de [UNK] [UNK] .,this is the [UNK] [UNK] .,,
1900-01-01 00:09:00.703991,1900-01-01 00:09:01.603991,Frutti di mare?,[UNK] [UNK] ?,[UNK] [UNK] ?,,
1900-01-01 00:09:01.603991,1900-01-01 00:09:02.603991,Wow.,wauw .,wow .,,
1900-01-01 00:09:02.603991,1900-01-01 00:09:04.103991,It's a bizarre looking frutti di mare.,het is bizar op [UNK] [UNK] [UNK] .,it's crazy to [UNK] [UNK] [UNK] .,,
1900-01-01 00:09:04.103991,1900-01-01 00:09:05.003991,It's actually great.,het is geweldig .,it's great .,,
1900-01-01 00:09:05.003991,1900-01-01 00:09:05.902991,"Thank you, my darling.","bedankt , lieverd .","thanks , honey .",,
1900-01-01 00:09:12.582991,1900-01-01 00:09:14.582991,Pasta's mush.,[UNK] [UNK] .,[UNK] [UNK] .,,
1900-01-01 00:09:14.582991,1900-01-01 00:09:16.082991,It's way overcooked.,het is [UNK] .,it's [UNK] .,,
1900-01-01 00:09:16.582991,1900-01-01 00:09:19.582991,Oh my god.,oh mijn god .,"oh , my god .",,
1900-01-01 00:09:19.582991,1900-01-01 00:09:20.582991,Strands of mozzarella.,[UNK] van [UNK] .,[UNK] of [UNK] .,,
1900-01-01 00:09:20.582991,1900-01-01 00:09:22.082991,Is that mozzarella on top of that?,is dat [UNK] ?,is that [UNK] ?,,
1900-01-01 00:09:22.082991,1900-01-01 00:09:23.082991,"Yes, it is.","ja , dat is het .","yeah , that's it .",,
1900-01-01 00:09:23.082991,1900-01-01 00:09:24.582991,On a frutti di mare.,op een [UNK] [UNK] .,a [UNK] [UNK] .,,
1900-01-01 00:09:24.582991,1900-01-01 00:09:26.082991,And then the pasta.,en toen de [UNK] .,and then the [UNK] .,,
1900-01-01 00:09:26.082991,1900-01-01 00:09:27.082991,It's just mush.,het is gewoon [UNK] .,it's just [UNK] .,,
1900-01-01 00:09:27.082991,1900-01-01 00:09:28.582991,It's almost like it's canned.,het is bijna alsof het [UNK] is .,it's almost like it's [UNK] .,,
1900-01-01 00:09:28.582991,1900-01-01 00:09:31.082991,And the mussels taste like old style.,en de [UNK] smaak zoals oude stijl .,and the [UNK] taste like [UNK] .,,
1900-01-01 00:09:31.082991,1900-01-01 00:09:32.082991,Are they fresh mussels?,zijn ze verse [UNK] ?,are they fresh [UNK] ?,,
1900-01-01 00:09:32.082991,1900-01-01 00:09:33.603991,I don't think so.,ik denk het niet .,i don't think so .,,
1900-01-01 00:09:33.603991,1900-01-01 00:09:35.603991,"And the shrimps, these ones are way overcooked.","en de [UNK] , deze manier zijn [UNK] .","and the [UNK] , these way are [UNK] .",,
1900-01-01 00:09:35.603991,1900-01-01 00:09:36.603991,Those ones are gray.,die [UNK] zijn gray .,these [UNK] are gray .,,
1900-01-01 00:09:36.603991,1900-01-01 00:09:37.603991,Strange.,vreemd .,strange .,,
1900-01-01 00:09:37.603991,1900-01-01 00:09:38.803991,Yeah.,ja .,yeah .,,
1900-01-01 00:09:38.803991,1900-01-01 00:09:40.103991,This has been going on for like a month or two now.,dit is een maand op zoek geweest of twee .,this has been looking for two or two .,,
1900-01-01 00:09:40.103991,1900-01-01 00:09:42.603991,"He's just been thinning out bad shrimp, and we don't know why.","hij is gewoon slecht [UNK] , maar we weten niet waarom .","he's just bad [UNK] , but we don't know why .",,
1900-01-01 00:09:42.603991,1900-01-01 00:09:44.603991,Genevieve doesn't shut up.,[UNK] dicht .,shut up !,,
1900-01-01 00:09:44.623991,1900-01-01 00:09:46.623991,And do you not tell the chef?,zeg jij die [UNK] niet ?,don't you say that [UNK] ?,,
1900-01-01 00:09:46.623991,1900-01-01 00:09:49.123991,"Well, I can't take complaints to the chef.","nou , ik kan [UNK] niet naar de chef brengen .","well , i can't bring [UNK] to the chief .",,
1900-01-01 00:09:49.123991,1900-01-01 00:09:51.603991,Seriously?,serieus ?,seriously ?,,
1900-01-01 00:09:51.603991,1900-01-01 00:09:54.603991,Tatiana doesn't really listen to any of us.,[UNK] luister niet naar ons .,[UNK] don't listen to us .,,
1900-01-01 00:09:54.603991,1900-01-01 00:09:55.603991,Wow.,wauw .,wow .,,
1900-01-01 00:09:55.603991,1900-01-01 00:09:58.103991,Not good.,niet goed .,not good .,,
1900-01-01 00:09:58.103991,1900-01-01 00:09:59.103991,What the hell is that?,wat is dat ?,what's that ?,,
1900-01-01 00:09:59.103991,1900-01-01 00:10:00.603991,It's the lasagna.,het is de [UNK] .,it's the [UNK] .,,
1900-01-01 00:10:00.603991,1900-01-01 00:10:03.103991,That's the lasagna?,is dat de [UNK] ?,is that the [UNK] ?,,
1900-01-01 00:10:03.103991,1900-01-01 00:10:05.623991,The lasagna is vile.,de [UNK] is [UNK] .,the [UNK] is [UNK] .,,
1900-01-01 00:10:05.623991,1900-01-01 00:10:08.123991,It's embarrassing to serve that to Chef Ramsay.,het is gênant voor die [UNK] .,it's embarrassing for that [UNK] .,,
1900-01-01 00:10:08.123991,1900-01-01 00:10:09.123991,What's in the sauce?,wat zit er in de [UNK] ?,what's in the [UNK] ?,,
1900-01-01 00:10:09.123991,1900-01-01 00:10:10.123991,Why is it that color?,waarom is het kleur van kleur ?,why is the color of color ?,,
1900-01-01 00:10:10.123991,1900-01-01 00:10:11.123991,It's pink sauce.,het is pink [UNK] .,it's pink [UNK] .,,
1900-01-01 00:10:11.123991,1900-01-01 00:10:13.123991,She doesn't know what's in it.,ze weet niet wat er in staat is .,she doesn't know what's in it .,,
1900-01-01 00:10:13.142991,1900-01-01 00:10:14.142991,Pink sauce with lasagna.,pink [UNK] met [UNK] .,pink [UNK] with [UNK] .,,
1900-01-01 00:10:14.142991,1900-01-01 00:10:15.142991,Is it his own recipe?,is het z'n eigen recept ?,is it his own recipe ?,,
1900-01-01 00:10:15.142991,1900-01-01 00:10:16.142991,"Yes, it is.","ja , dat is het .","yeah , that's it .",,
1900-01-01 00:10:19.142991,1900-01-01 00:10:21.642991,The sauce tastes bizarre.,de [UNK] won bizar .,the [UNK] won crazy .,,
1900-01-01 00:10:21.642991,1900-01-01 00:10:24.623991,And the mouthful I had was stone cold.,en de [UNK] die ik [UNK] had .,and the [UNK] i had [UNK] .,,
1900-01-01 00:10:24.623991,1900-01-01 00:10:26.123991,"It's hot one side, cold the other.",het is een [UNK] kant .,it's a [UNK] side street .,,
1900-01-01 00:10:26.123991,1900-01-01 00:10:27.623991,Is that microwaved?,is dat [UNK] ?,is that [UNK] ?,,
1900-01-01 00:10:27.623991,1900-01-01 00:10:29.123991,It might be.,misschien wel .,maybe .,,
1900-01-01 00:10:29.123991,1900-01-01 00:10:30.623991,Don't answer a question you don't know.,beantwoord geen vraag van jou .,no questions about you .,,
1900-01-01 00:10:30.623991,1900-01-01 00:10:32.623991,Oh.,oh .,oh .,,
1900-01-01 00:10:32.623991,1900-01-01 00:10:34.123991,Wow.,wauw .,wow .,,
1900-01-01 00:10:34.123991,1900-01-01 00:10:35.123991,Right.,juist .,right .,,
1900-01-01 00:10:35.123991,1900-01-01 00:10:36.623991,Is there a problem with his microwave?,is er een probleem met zijn [UNK] ?,is there a problem with his [UNK] ?,,
1900-01-01 00:10:36.623991,1900-01-01 00:10:38.123991,Not that I'm aware of.,dat weet ik niet .,i don't know .,,
1900-01-01 00:10:38.123991,1900-01-01 00:10:39.643991,It feels like the microwave's on the blink.,het voelt alsof de [UNK] op de [UNK] zit .,it feels like the [UNK] is on the [UNK] .,,
1900-01-01 00:10:39.643991,1900-01-01 00:10:40.643991,"Yes, it is.","ja , dat is het .","yeah , that's it .",,
1900-01-01 00:10:40.643991,1900-01-01 00:10:41.643991,Wow.,wauw .,wow .,,
1900-01-01 00:10:41.662991,1900-01-01 00:10:44.162991,A restaurant can't get food microwaved properly.,een restaurant kan geen [UNK] [UNK] .,a restaurant [UNK] [UNK] .,,
1900-01-01 00:10:44.162991,1900-01-01 00:10:45.662991,I don't know.,ik weet het niet .,i don't know .,,
1900-01-01 00:10:45.662991,1900-01-01 00:10:48.162991,Let me answer these questions.,laat me deze vragen beantwoorden .,let me answer this questions .,,
1900-01-01 00:10:48.162991,1900-01-01 00:10:49.662991,"Still, there's always hope for the pizza.","nog , er is altijd hoop voor de pizza .",there's always hope for the pizza .,,
1900-01-01 00:10:49.662991,1900-01-01 00:10:51.662991,Especially looking at it like that.,vooral zo .,especially about it .,,
1900-01-01 00:10:51.662991,1900-01-01 00:10:52.662991,All right.,oké .,okay .,,
1900-01-01 00:10:52.662991,1900-01-01 00:10:54.162991,Maybe we can win him over with the pizza.,misschien kunnen we hem winnen over de pizza .,maybe we can win him over the pizza .,,
1900-01-01 00:10:54.162991,1900-01-01 00:10:55.662991,"It's crispy, right?","het is [UNK] , toch ?","it's [UNK] , isn't it ?",,
1900-01-01 00:10:55.662991,1900-01-01 00:10:56.662991,No.,nee .,no .,,
1900-01-01 00:10:56.662991,1900-01-01 00:10:57.662991,It's like good.,het is leuk .,it's fun .,,
1900-01-01 00:10:57.662991,1900-01-01 00:10:58.662991,It's not pizza.,pizza is niet .,pizza isn't right .,,
1900-01-01 00:10:58.662991,1900-01-01 00:10:59.662991,It's good.,het is goed .,it's okay .,,
1900-01-01 00:10:59.662991,1900-01-01 00:11:02.162991,"Yes, but it's not less cooked.","ja , maar het is niet minder [UNK] .","yeah , but it's not less [UNK] .",,
1900-01-01 00:11:02.162991,1900-01-01 00:11:03.162991,What's it?,wat is er ?,what is it ?,,
1900-01-01 00:11:03.162991,1900-01-01 00:11:04.162991,It's like pizza.,het is als pizza .,it's like pizza .,,
1900-01-01 00:11:04.162991,1900-01-01 00:11:07.162991,It's the garlic chicken.,het is de [UNK] .,it's the [UNK] .,,
1900-01-01 00:11:07.162991,1900-01-01 00:11:10.662991,"God, I hope he likes something.",ik hoop dat hij van iets houdt .,i hope he likes something .,,
1900-01-01 00:11:10.682991,1900-01-01 00:11:11.682991,Doughy.,[UNK] .,[UNK] .,,
1900-01-01 00:11:15.182991,1900-01-01 00:11:16.182991,It's so bready.,het is zo [UNK] .,it's so [UNK] .,,
1900-01-01 00:11:16.182991,1900-01-01 00:11:17.682991,So doughy.,zo [UNK] .,so [UNK] .,,
1900-01-01 00:11:17.682991,1900-01-01 00:11:20.182991,And look at all this raw pastry underneath there.,en kijk op al die [UNK] daar .,and look at all that [UNK] there .,,
1900-01-01 00:11:20.182991,1900-01-01 00:11:21.182991,"Oh, no.","oh , nee .","oh , no .",,
1900-01-01 00:11:21.182991,1900-01-01 00:11:22.682991,He doesn't like the pizza.,hij houdt niet van de pizza .,he doesn't like the pizza .,,
1900-01-01 00:11:22.682991,1900-01-01 00:11:25.182991,It resembles nothing homemade.,het [UNK] niets .,nothing .,,
1900-01-01 00:11:25.182991,1900-01-01 00:11:26.682991,"Oh, my god.",mijn god .,"oh , my god .",,
1900-01-01 00:11:26.682991,1900-01-01 00:11:29.182991,They've got a pizza that's come out of the oven.,ze hebben een pizza die [UNK] is gekomen .,they have a pizza thing that came over .,,
1900-01-01 00:11:29.182991,1900-01-01 00:11:31.182991,That feels like something that's been frozen.,dat is toch iets [UNK] ?,that's something weird ?,,
1900-01-01 00:11:33.682991,1900-01-01 00:11:35.182991,He hates our pizza.,hij haat onze pizza .,he hates our pizza .,,
1900-01-01 00:11:35.182991,1900-01-01 00:11:36.682991,He hates our pizza.,hij haat onze pizza .,he hates our pizza .,,
1900-01-01 00:11:36.682991,1900-01-01 00:11:39.682991,What a shame.,wat zonde .,it's a shame .,,
1900-01-01 00:11:39.703991,1900-01-01 00:11:40.703991,"Oh, dear.","oh , schatje .","oh , baby .",,
1900-01-01 00:11:40.703991,1900-01-01 00:11:42.703991,"Is it that bad, Chef?","is het dat slecht , chef ?","is that bad , chef ?",,
1900-01-01 00:11:42.703991,1900-01-01 00:11:44.203991,"Yeah, it's not funny.","ja , het is niet grappig .","yeah , it's not funny .",,
1900-01-01 00:11:44.203991,1900-01-01 00:11:46.203991,"I don't know what the giggles and the laughing is about,",ik weet niet wat de [UNK] en het lachen gaat over .,i don't know what the [UNK] and it's laughing at .,,
1900-01-01 00:11:46.203991,1900-01-01 00:11:48.703991,but the dishes have been dreadful.,maar de [UNK] zijn [UNK] .,but the [UNK] are [UNK] .,,
1900-01-01 00:11:48.703991,1900-01-01 00:11:50.203991,OK.,oké .,okay .,,
1900-01-01 00:11:50.203991,1900-01-01 00:11:52.703991,"I'm trying not to cry, but he's going to come after me.","ik probeer niet te huilen , maar hij gaat achter me mee .","i'm not trying to cry , but he's going after me .",,
1900-01-01 00:11:52.703991,1900-01-01 00:11:54.203991,I can feel it.,ik kan het voelen .,i can feel it .,,
1900-01-01 00:11:54.203991,1900-01-01 00:11:57.203991,"Oh, my god.",mijn god .,"oh , my god .",,
1900-01-01 00:11:57.203991,1900-01-01 00:12:00.203991,Do you seriously have a kitchen heater?,heb je een keuken van keuken ?,have you got a kitchen of kitchen ?,,
1900-01-01 00:12:00.203991,1900-01-01 00:12:03.723991,After a lunch in which every dish had a failing grade.,na een lunch had elke [UNK] een [UNK] .,after an lunch had every [UNK] [UNK] .,,
1900-01-01 00:12:03.723991,1900-01-01 00:12:05.223991,"It's hot one side, cold the other.",het is een [UNK] kant .,it's a [UNK] side street .,,
1900-01-01 00:12:05.223991,1900-01-01 00:12:06.723991,Dreadful.,[UNK] .,[UNK] .,,
1900-01-01 00:12:06.762991,1900-01-01 00:12:11.262991,Owner Tatiana refused to pass on any of Chef Ramsay's criticism.,de eigenaar is weigerde voor [UNK] [UNK] .,owner is arrested for [UNK] [UNK] .,,
1900-01-01 00:12:11.262991,1900-01-01 00:12:12.742991,This is Chef Casimiro.,dit is [UNK] .,this is [UNK] .,,
1900-01-01 00:12:12.742991,1900-01-01 00:12:13.742991,"Casimiro, how are you?","[UNK] , hoe gaat het ?","[UNK] , how are you ?",,
1900-01-01 00:12:13.742991,1900-01-01 00:12:14.742991,The head chef.,de hoofd .,the head .,,
1900-01-01 00:12:14.742991,1900-01-01 00:12:15.742991,Excellent.,uitstekend .,excellent .,,
1900-01-01 00:12:15.742991,1900-01-01 00:12:16.742991,And first name?,en eerste naam ?,and first name ?,,
1900-01-01 00:12:16.742991,1900-01-01 00:12:17.742991,Daniela.,[UNK] .,[UNK] .,,
1900-01-01 00:12:17.742991,1900-01-01 00:12:18.742991,"Daniela, good to see you.","[UNK] , goed je te zien .","[UNK] , good to see you .",,
1900-01-01 00:12:18.742991,1900-01-01 00:12:20.742991,But the uninformed kitchen crew is about to be enlightened.,maar de [UNK] keuken weet ik niet .,"but the [UNK] kitchen , i don't know .",,
1900-01-01 00:12:20.742991,1900-01-01 00:12:23.742991,"So just explain, who's the head chef, please?",dus leg eens uit .,so [UNK] .,,
1900-01-01 00:12:23.742991,1900-01-01 00:12:24.742991,Casimiro.,[UNK] .,[UNK] .,,
1900-01-01 00:12:24.742991,1900-01-01 00:12:26.742991,"Do you speak a little English, Casimiro?","spreek je een beetje engels , [UNK] ?","is it a little english , [UNK] ?",,
1900-01-01 00:12:26.742991,1900-01-01 00:12:27.742991,No.,nee .,no .,,
1900-01-01 00:12:27.742991,1900-01-01 00:12:28.742991,No.,nee .,no .,,
1900-01-01 00:12:28.742991,1900-01-01 00:12:30.762991,And I'm upset.,en ik ben boos .,and i'm mad .,,
1900-01-01 00:12:30.762991,1900-01-01 00:12:34.263991,"I mean, you have a really bad, depressing restaurant.","je hebt een slecht restaurant , [UNK] restaurant .","you have a bad restaurant , [UNK] restaurant .",,
1900-01-01 00:12:34.263991,1900-01-01 00:12:35.763991,This place is a mess.,deze plek is een rotzooi .,this place is a mess .,,
1900-01-01 00:12:35.802991,1900-01-01 00:12:36.802991,And you know what?,en je weet wat ?,and you know what ?,,
1900-01-01 00:12:36.802991,1900-01-01 00:12:38.802991,It's not even mediocre.,het is niet eens [UNK] .,it's not even [UNK] .,,
1900-01-01 00:12:38.802991,1900-01-01 00:12:39.802991,The food is hideous.,het eten is [UNK] .,dinner is [UNK] .,,
1900-01-01 00:12:39.802991,1900-01-01 00:12:42.783991,And you don't need me to tell you that.,dat moet ik me niet vertellen .,i don't have to tell you that .,,
1900-01-01 00:12:42.783991,1900-01-01 00:12:46.783991,"The bread, that's the kind of bread that you're serving.","brood , dat is het [UNK] .","bread , that's the [UNK] .",,
1900-01-01 00:12:46.783991,1900-01-01 00:12:47.783991,Touch it.,raak hem aan .,touch him .,,
1900-01-01 00:12:47.783991,1900-01-01 00:12:50.783991,"It's soaking wet, it's bland, and it's",het is nat . . .,it's wet . . .,,
